,age,workclass,fnlwgt,education,educationN,maritalStatus,occupation,relationship,race,sex,country,timeWork,weight_change,social_status
5430,46,Private,328.669,Assoc-voc,11,Married-civ-spouse,Craft-repair,Taken,White,Male,USA,over time,0.0,Poor
5431,51,Private,143.741,Some-college,10,Married-civ-spouse,Other-service,Taken,White,Female,USA,full time,0.0,Rich
5432,44,Private,83.508,Prof-school,15,Divorced,Prof-specialty,Single,White,Female,USA,too much,2.354,Poor
5433,56,State-gov,81.954,HS-grad,9,Divorced,Adm-clerical,Single,White,Female,USA,full time,0.0,Poor
5434,27,Private,261.375,Bachelors,13,Never-married,Adm-clerical,Single,Black,Female,USA,full time,0.0,Poor
5435,52,Private,310.045,9th,5,Married-spouse-absent,Machine-op-inspct,Taken,Asian-Pac-Islander,Female,CN-CHN,full time,0.0,Poor
5436,39,Private,316.211,Bachelors,13,Never-married,Prof-specialty,Single,White,Male,USA,full time,0.0,Rich
5437,45,Federal-gov,88.564,Some-college,10,Married-civ-spouse,Exec-managerial,Taken,White,Male,USA,full time,7.688,Rich
5438,37,Private,61.299,Some-college,10,Married-civ-spouse,Craft-repair,Taken,White,Male,USA,over time,0.0,Poor
5439,33,Private,113.364,HS-grad,9,Divorced,Adm-clerical,Single,White,Male,USA,full time,0.0,Poor
5441,46,Private,267.107,5th-6th,3,Married-civ-spouse,Craft-repair,Taken,White,Female,IT,over time,0.0,Poor
5442,35,Private,48.123,12th,8,Married-civ-spouse,Craft-repair,Taken,White,Female,USA,over time,0.0,Poor
5443,33,Private,214.635,HS-grad,9,Married-civ-spouse,Exec-managerial,Taken,Black,Male,USA,over time,0.0,Poor
5444,48,Private,115.585,Bachelors,13,Married-civ-spouse,Sales,Taken,White,Male,USA,full time,0.0,Poor
5445,32,Private,194.141,HS-grad,9,Divorced,Machine-op-inspct,Single,White,Male,USA,over time,0.0,Poor
5447,20,Private,89.991,Some-college,10,Never-married,Other-service,Single,White,Female,USA,full time,0.0,Poor
5448,35,Private,101.709,HS-grad,9,Never-married,Transport-moving,Single,Asian-Pac-Islander,Male,USA,over time,0.0,Poor
5449,19,Private,237.455,HS-grad,9,Never-married,Handlers-cleaners,Single,White,Female,USA,part time,0.0,Poor
5450,21,Private,206.492,HS-grad,9,Never-married,Sales,Single,White,Female,USA,full time,0.0,Poor
5452,28,Private,153.475,Bachelors,13,Never-married,Adm-clerical,Single,White,Female,SV,part time,0.0,Poor
5453,45,Private,275.517,HS-grad,9,Divorced,Craft-repair,Single,White,Female,USA,full time,0.0,Poor
5454,32,Private,128.002,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Taken,White,Female,USA,over time,0.0,Poor
5455,44,Private,175.485,Bachelors,13,Married-civ-spouse,Craft-repair,Taken,White,Male,USA,part time,0.0,Poor
5456,55,Private,189.664,HS-grad,9,Married-civ-spouse,Prof-specialty,Taken,White,Male,USA,full time,0.0,Rich
5457,34,Private,209.808,Some-college,10,Married-civ-spouse,Adm-clerical,Taken,White,Male,USA,full time,0.0,Rich
5458,33,Private,176.992,Masters,14,Married-civ-spouse,Prof-specialty,Taken,White,Male,USA,full time,0.0,Rich
5459,36,Private,154.669,Bachelors,13,Never-married,Exec-managerial,Single,White,Male,USA,over time,0.0,Poor
5460,25,Private,191.271,HS-grad,9,Never-married,Adm-clerical,Single,White,Female,USA,full time,0.0,Poor
5462,39,Private,102.953,Bachelors,13,Married-civ-spouse,Sales,Taken,White,Male,USA,over time,7.298,Rich
5463,53,Private,169.182,10th,6,Married-spouse-absent,Machine-op-inspct,Taken,White,Female,CO,full time,0.0,Poor
5464,47,Private,184.005,HS-grad,9,Divorced,Exec-managerial,Single,Amer-Indian-Eskimo,Female,USA,over time,3.325,Poor
5466,22,Private,145.477,HS-grad,9,Never-married,Handlers-cleaners,Single,Amer-Indian-Eskimo,Male,USA,full time,0.0,Poor
5467,31,Private,91.964,Some-college,10,Never-married,Adm-clerical,Single,White,Male,USA,full time,0.0,Poor
5468,44,Self-emp-inc,49.249,Some-college,10,Divorced,Other-service,Single,White,Male,USA,too much,0.0,Poor
5469,19,Private,218.956,HS-grad,9,Never-married,Prof-specialty,Single,White,Male,USA,full time,0.0,Poor
5470,37,Self-emp-not-inc,241.306,HS-grad,9,Divorced,Craft-repair,Single,White,Male,USA,full time,0.0,Poor
5472,23,Private,319.842,Some-college,10,Never-married,Handlers-cleaners,Single,White,Male,USA,part time,0.0,Poor
5473,44,Private,332.401,Prof-school,15,Married-civ-spouse,Prof-specialty,Taken,White,Male,USA,too much,99.999,Rich
5474,54,Local-gov,182.388,HS-grad,9,Married-civ-spouse,Other-service,Taken,White,Female,USA,full time,0.0,Poor
5475,23,Private,205.939,HS-grad,9,Married-civ-spouse,Craft-repair,Taken,White,Male,USA,full time,0.0,Poor
5476,21,Private,203.914,Some-college,10,Never-married,Other-service,Single,White,Female,USA,part time,0.0,Poor
5477,19,State-gov,156.294,Some-college,10,Never-married,Prof-specialty,Single,White,Male,USA,part time,0.0,Poor
5478,51,Private,254.211,Bachelors,13,Married-civ-spouse,Craft-repair,Taken,White,Male,USA,part time,0.0,Rich
5479,41,Private,151.504,Bachelors,13,Married-civ-spouse,Exec-managerial,Taken,White,Male,USA,over time,7.688,Rich
5480,61,Private,85.548,Some-college,10,Married-civ-spouse,Tech-support,Taken,White,Male,USA,part time,15.024,Rich
5482,22,Private,131.23,Bachelors,13,Never-married,Sales,Single,White,Male,USA,full time,0.0,Poor
5483,22,Private,61.85,HS-grad,9,Never-married,Other-service,Single,White,Female,USA,full time,0.0,Poor
5484,49,Private,227.8,7th-8th,4,Married-civ-spouse,Prof-specialty,Taken,White,Male,USA,full time,0.0,Poor
5485,35,Private,133.454,10th,6,Divorced,Machine-op-inspct,Single,White,Male,USA,over time,0.0,Poor
5486,38,Private,104.094,Some-college,10,Married-civ-spouse,Sales,Taken,White,Male,USA,full time,0.0,Poor
5487,29,Private,105.422,HS-grad,9,Married-civ-spouse,Prof-specialty,Taken,White,Male,USA,full time,0.0,Rich
5488,56,Private,142.182,Assoc-voc,11,Married-civ-spouse,Craft-repair,Taken,White,Male,USA,over time,0.0,Rich
5489,41,Private,336.643,Some-college,10,Divorced,Exec-managerial,Single,White,Female,USA,too much,0.0,Poor
5490,62,Self-emp-inc,200.577,Masters,14,Married-civ-spouse,Sales,Taken,White,Male,USA,over time,0.0,Rich
5491,27,Private,208.703,HS-grad,9,Never-married,Protective-serv,Single,White,Male,JP,full time,0.0,Poor
5493,25,Private,272.428,HS-grad,9,Never-married,Sales,Single,White,Male,USA,over time,4.416,Poor
5494,33,Private,56.701,Bachelors,13,Married-civ-spouse,Prof-specialty,Taken,White,Male,USA,too much,15.024,Rich
5495,26,Private,288.592,HS-grad,9,Never-married,Adm-clerical,Single,White,Female,USA,full time,0.0,Poor
5496,43,Private,266.439,HS-grad,9,Divorced,Machine-op-inspct,Single,White,Male,USA,over time,0.0,Poor
5497,53,Federal-gov,276.868,Masters,14,Married-civ-spouse,Adm-clerical,Taken,White,Male,USA,full time,0.0,Rich
5498,43,Private,131.435,Bachelors,13,Divorced,Other-service,Single,White,Female,USA,full time,0.0,Poor
5499,56,Private,175.127,HS-grad,9,Divorced,Craft-repair,Single,White,Male,USA,full time,0.0,Poor
5500,25,Private,277.444,Bachelors,13,Married-civ-spouse,Sales,Taken,White,Male,USA,over time,0.0,Poor
5501,60,Private,63.296,Masters,14,Divorced,Prof-specialty,Single,Black,Male,USA,full time,0.0,Poor
5502,28,Private,96.337,Some-college,10,Never-married,Adm-clerical,Single,White,Female,USA,full time,0.0,Poor
5503,21,Private,221.955,HS-grad,9,Never-married,Machine-op-inspct,Single,White,Male,MX,full time,0.0,Poor
5504,40,Private,197.923,Bachelors,13,Never-married,Adm-clerical,Single,Black,Female,USA,full time,2.977,Poor
5506,20,Private,205.97,Some-college,10,Never-married,Craft-repair,Single,White,Female,USA,part time,0.0,Poor
5507,25,Private,139.73,HS-grad,9,Married-civ-spouse,Craft-repair,Taken,White,Male,USA,too much,0.0,Rich
5508,18,Private,201.901,11th,7,Never-married,Sales,Single,White,Female,USA,part time,0.0,Poor
5509,32,State-gov,230.224,Assoc-acdm,12,Married-civ-spouse,Other-service,Taken,White,Male,USA,full time,0.0,Poor
5510,27,Private,113.464,1st-4th,2,Never-married,Other-service,Single,Other,Male,DO,full time,0.0,Poor
5511,48,Private,94.461,HS-grad,9,Widowed,Machine-op-inspct,Single,White,Female,USA,part time,0.0,Poor
5512,20,Private,271.379,Some-college,10,Never-married,Sales,Single,White,Female,USA,part time,0.0,Poor
5513,55,Private,231.738,HS-grad,9,Divorced,Sales,Single,White,Female,UK,full time,0.0,Poor
5514,33,Local-gov,198.183,Bachelors,13,Never-married,Prof-specialty,Single,White,Female,USA,over time,0.0,Rich
5515,21,State-gov,140.764,Some-college,10,Never-married,Adm-clerical,Single,White,Female,USA,part time,0.0,Poor
5516,43,Self-emp-not-inc,183.479,HS-grad,9,Married-civ-spouse,Craft-repair,Taken,White,Male,USA,full time,0.0,Poor
5517,35,Private,165.767,Some-college,10,Married-civ-spouse,Machine-op-inspct,Taken,White,Male,USA,full time,0.0,Poor
5518,39,Local-gov,139.364,Bachelors,13,Married-civ-spouse,Prof-specialty,Taken,White,Male,USA,full time,0.0,Rich
5519,19,Private,227.491,HS-grad,9,Never-married,Sales,Single,Asian-Pac-Islander,Female,USA,full time,0.0,Poor
5520,25,Private,222.254,HS-grad,9,Never-married,Other-service,Single,Black,Female,USA,full time,0.0,Poor
5521,44,Private,193.494,Some-college,10,Married-civ-spouse,Transport-moving,Taken,White,Male,USA,too much,0.0,Rich
5523,39,Private,174.368,HS-grad,9,Married-civ-spouse,Adm-clerical,Taken,White,Female,USA,full time,0.0,Rich
5524,69,Private,108.196,10th,6,Never-married,Craft-repair,Single,White,Male,USA,full time,0.0,Poor
5525,34,Private,110.622,Bachelors,13,Never-married,Exec-managerial,Single,Asian-Pac-Islander,Female,PH,full time,0.0,Poor
5527,37,Private,130.277,5th-6th,3,Separated,Other-service,Single,White,Female,USA,full time,0.0,Poor
5528,43,Local-gov,98.13,Bachelors,13,Divorced,Prof-specialty,Single,White,Female,USA,full time,0.0,Poor
5531,31,Self-emp-not-inc,349.148,Some-college,10,Married-civ-spouse,Machine-op-inspct,Taken,White,Male,USA,over time,0.0,Poor
5532,42,State-gov,117.583,Doctorate,16,Divorced,Prof-specialty,Single,White,Female,USA,over time,8.614,Rich
5533,26,Private,164.583,HS-grad,9,Divorced,Sales,Single,White,Female,USA,full time,0.0,Poor
5534,39,Private,340.091,Some-college,10,Separated,Other-service,Single,White,Female,USA,too much,0.0,Poor
5535,25,Private,49.092,Bachelors,13,Never-married,Other-service,Single,White,Male,USA,full time,0.0,Poor
5536,54,Local-gov,186.884,Some-college,10,Married-civ-spouse,Transport-moving,Taken,Black,Male,USA,full time,0.0,Poor
5537,44,State-gov,167.265,Masters,14,Married-civ-spouse,Prof-specialty,Taken,White,Male,USA,over time,0.0,Rich
5539,21,Self-emp-inc,265.116,Some-college,10,Never-married,Exec-managerial,Single,White,Male,USA,full time,0.0,Poor
5540,50,Private,128.378,5th-6th,3,Married-civ-spouse,Handlers-cleaners,Taken,White,Male,USA,over time,0.0,Poor
5541,33,Private,158.416,HS-grad,9,Never-married,Machine-op-inspct,Single,White,Male,USA,full time,0.0,Poor
5542,40,Self-emp-inc,169.878,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Taken,White,Female,USA,full time,0.0,Rich
5543,44,Private,296.728,Masters,14,Married-civ-spouse,Exec-managerial,Taken,White,Male,USA,full time,0.0,Rich
5544,33,Local-gov,342.458,Assoc-acdm,12,Divorced,Protective-serv,Single,White,Male,USA,over time,0.0,Poor
5546,35,Self-emp-not-inc,269.3,Bachelors,13,Never-married,Other-service,Single,Black,Female,USA,over time,0.0,Poor
5547,43,Private,111.483,Some-college,10,Married-civ-spouse,Sales,Taken,White,Male,USA,full time,7.298,Rich
5550,29,Private,132.874,HS-grad,9,Married-civ-spouse,Craft-repair,Taken,White,Male,USA,full time,0.0,Poor
5551,51,Local-gov,277.024,HS-grad,9,Separated,Protective-serv,Single,Black,Male,USA,full time,0.0,Poor
5552,35,Private,112.16,HS-grad,9,Married-civ-spouse,Sales,Taken,White,Male,USA,full time,0.0,Poor
5554,58,Private,127.264,10th,6,Married-civ-spouse,Craft-repair,Taken,White,Male,USA,over time,0.0,Poor
5555,57,Self-emp-inc,257.2,Some-college,10,Married-civ-spouse,Exec-managerial,Taken,White,Male,USA,full time,0.0,Rich
5556,19,Private,57.206,HS-grad,9,Never-married,Sales,Single,White,Female,USA,part time,0.0,Poor
5557,37,Private,201.319,Some-college,10,Separated,Other-service,Single,White,Female,USA,full time,0.0,Poor
5558,38,Private,114.079,HS-grad,9,Married-civ-spouse,Sales,Taken,White,Male,USA,over time,0.0,Poor
5559,45,Private,230.979,Some-college,10,Married-spouse-absent,Adm-clerical,Taken,White,Female,USA,full time,0.0,Poor
5560,27,Private,292.472,Some-college,10,Married-civ-spouse,Prof-specialty,Taken,Asian-Pac-Islander,Male,CM,full time,0.0,Rich
5562,38,Local-gov,134.444,Some-college,10,Married-civ-spouse,Protective-serv,Taken,White,Male,USA,too much,0.0,Poor
5563,30,Private,172.403,HS-grad,9,Divorced,Craft-repair,Single,White,Male,USA,full time,0.0,Poor
5564,46,Private,191.357,Bachelors,13,Married-civ-spouse,Tech-support,Taken,White,Male,USA,full time,0.0,Poor
5567,30,Private,303.867,HS-grad,9,Separated,Transport-moving,Single,White,Male,USA,over time,0.0,Poor
5568,47,Private,164.113,Some-college,10,Married-civ-spouse,Craft-repair,Taken,Black,Male,USA,full time,7.688,Rich
5569,39,Private,111.499,Bachelors,13,Never-married,Exec-managerial,Single,White,Female,USA,full time,0.0,Poor
5570,42,Private,266.084,Some-college,10,Married-civ-spouse,Craft-repair,Taken,White,Male,USA,over time,7.298,Rich
5571,27,Private,61.58,Some-college,10,Divorced,Adm-clerical,Single,White,Female,USA,full time,0.0,Poor
5572,44,Private,231.348,Some-college,10,Divorced,Sales,Single,White,Male,USA,full time,0.0,Poor
5573,33,Private,164.748,Bachelors,13,Married-civ-spouse,Transport-moving,Taken,White,Male,USA,full time,0.0,Poor
5574,54,Private,205.337,Bachelors,13,Never-married,Exec-managerial,Single,White,Male,USA,over time,0.0,Rich
5575,58,Self-emp-not-inc,54.566,Some-college,10,Married-civ-spouse,Farming-fishing,Taken,White,Male,USA,full time,0.0,Poor
5577,59,Private,116.442,Some-college,10,Married-civ-spouse,Machine-op-inspct,Taken,White,Male,USA,over time,0.0,Poor
5578,29,Private,290.74,Assoc-acdm,12,Never-married,Priv-house-serv,Single,White,Female,USA,over time,0.0,Poor
5579,27,Private,255.582,HS-grad,9,Never-married,Machine-op-inspct,Single,White,Female,USA,full time,0.0,Poor
5580,44,Private,112.517,Masters,14,Married-civ-spouse,Tech-support,Taken,White,Male,USA,part time,0.0,Rich
5581,44,Private,169.397,HS-grad,9,Married-civ-spouse,Craft-repair,Taken,White,Male,USA,full time,0.0,Rich
5582,33,Private,172.664,Some-college,10,Married-civ-spouse,Exec-managerial,Taken,White,Male,USA,too much,0.0,Rich
5583,27,Private,329.005,HS-grad,9,Never-married,Craft-repair,Single,White,Male,USA,full time,0.0,Poor
5584,33,Private,123.253,Bachelors,13,Married-civ-spouse,Exec-managerial,Taken,White,Male,USA,over time,0.0,Rich
5585,55,Private,81.865,Assoc-voc,11,Divorced,Adm-clerical,Single,Black,Female,USA,full time,0.0,Poor
5586,32,Self-emp-not-inc,173.314,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Taken,Other,Male,USA,over time,0.0,Poor
5588,57,Self-emp-inc,159.028,Prof-school,15,Married-civ-spouse,Prof-specialty,Taken,White,Male,USA,over time,99.999,Rich
5589,30,Private,149.184,Bachelors,13,Married-civ-spouse,Exec-managerial,Taken,White,Male,USA,over time,0.0,Rich
5591,28,Private,308.709,Bachelors,13,Never-married,Sales,Single,White,Female,USA,over time,0.0,Poor
5592,30,Self-emp-not-inc,257.295,Some-college,10,Never-married,Sales,Single,Asian-Pac-Islander,Male,South,full time,-2.258,Poor
5593,29,Private,168.479,Masters,14,Married-civ-spouse,Prof-specialty,Taken,White,Male,USA,full time,0.0,Rich
5594,66,Private,142.501,HS-grad,9,Never-married,Other-service,Single,Black,Female,USA,part time,0.0,Poor
5595,60,Private,338.345,HS-grad,9,Married-civ-spouse,Craft-repair,Taken,White,Male,USA,over time,0.0,Rich
5596,31,Private,177.675,Bachelors,13,Married-civ-spouse,Prof-specialty,Taken,White,Male,USA,full time,0.0,Poor
5597,26,Private,262.617,HS-grad,9,Never-married,Craft-repair,Single,White,Male,USA,full time,2.597,Poor
5598,24,Private,200.997,HS-grad,9,Never-married,Handlers-cleaners,Single,White,Male,USA,over time,0.0,Poor
5599,29,Private,176.683,Bachelors,13,Never-married,Sales,Single,White,Male,USA,over time,0.0,Rich
5601,34,Local-gov,177.675,Bachelors,13,Married-civ-spouse,Exec-managerial,Taken,White,Male,USA,over time,0.0,Rich
5602,59,Private,348.43,Bachelors,13,Married-civ-spouse,Prof-specialty,Taken,White,Male,USA,over time,-1.902,Rich
5603,23,Private,320.451,Bachelors,13,Never-married,Exec-managerial,Single,Asian-Pac-Islander,Male,USA,part time,0.0,Poor
5605,55,Local-gov,123.382,Assoc-voc,11,Separated,Prof-specialty,Single,Black,Female,USA,full time,0.0,Poor
5606,39,Self-emp-inc,151.029,HS-grad,9,Married-civ-spouse,Exec-managerial,Taken,White,Male,USA,full time,0.0,Rich
5608,57,Private,329.792,7th-8th,4,Divorced,Transport-moving,Single,White,Male,USA,too much,0.0,Poor
5609,35,Private,148.903,HS-grad,9,Divorced,Sales,Single,White,Female,USA,full time,0.0,Poor
5610,39,Local-gov,301.614,Assoc-voc,11,Married-civ-spouse,Protective-serv,Taken,White,Male,USA,over time,0.0,Rich
5611,47,Private,176.319,HS-grad,9,Married-civ-spouse,Sales,Taken,White,Female,USA,full time,0.0,Rich
5612,53,State-gov,53.197,Doctorate,16,Married-civ-spouse,Adm-clerical,Taken,White,Male,USA,over time,0.0,Rich
5613,23,Private,291.407,Some-college,10,Never-married,Sales,Single,Black,Male,USA,part time,0.0,Poor
5614,35,Private,204.527,Masters,14,Never-married,Craft-repair,Single,White,Male,USA,over time,0.0,Rich
5616,28,Private,224.964,HS-grad,9,Never-married,Other-service,Single,White,Female,USA,part time,0.0,Poor
5617,26,Private,306.225,Bachelors,13,Never-married,Exec-managerial,Single,Asian-Pac-Islander,Female,PL,full time,0.0,Poor
5618,23,Private,292.023,HS-grad,9,Never-married,Exec-managerial,Single,White,Male,USA,over time,0.0,Poor
5619,32,Private,94.041,HS-grad,9,Married-civ-spouse,Other-service,Taken,White,Male,IE,part time,0.0,Poor
5620,49,Self-emp-inc,187.563,Some-college,10,Married-civ-spouse,Transport-moving,Taken,White,Male,USA,over time,0.0,Rich
5621,36,Private,176.101,Some-college,10,Never-married,Craft-repair,Single,White,Male,USA,over time,2.174,Poor
5624,21,Private,216.07,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Taken,Amer-Indian-Eskimo,Female,USA,over time,0.0,Rich
5625,54,Self-emp-not-inc,105.01,Bachelors,13,Married-civ-spouse,Exec-managerial,Taken,White,Male,USA,full time,0.0,Rich
5626,43,Private,198.203,Some-college,10,Married-spouse-absent,Other-service,Taken,Black,Female,USA,full time,0.0,Poor
5627,35,Local-gov,215.419,Some-college,10,Divorced,Adm-clerical,Single,White,Female,USA,full time,0.0,Poor
5628,31,Private,120.46,Some-college,10,Married-civ-spouse,Farming-fishing,Taken,White,Male,USA,over time,0.0,Rich
5629,46,Private,199.316,Some-college,10,Married-civ-spouse,Craft-repair,Taken,Asian-Pac-Islander,Male,IN,full time,0.0,Poor
5630,46,Private,146.919,HS-grad,9,Separated,Sales,Single,White,Female,USA,full time,0.0,Poor
5631,56,Private,174.744,HS-grad,9,Married-civ-spouse,Other-service,Taken,White,Male,USA,full time,0.0,Poor
5633,21,Private,249.957,HS-grad,9,Never-married,Adm-clerical,Single,White,Male,USA,full time,0.0,Poor
5634,51,Private,146.574,Masters,14,Married-civ-spouse,Exec-managerial,Taken,White,Male,USA,over time,0.0,Rich
5635,47,State-gov,156.417,Some-college,10,Divorced,Prof-specialty,Single,White,Male,USA,part time,0.0,Poor
5636,42,Private,236.11,5th-6th,3,Married-spouse-absent,Craft-repair,Taken,White,Male,PR,full time,0.0,Poor
5637,19,Private,63.363,Some-college,10,Never-married,Sales,Single,White,Female,USA,full time,0.0,Poor
5638,25,Private,190.107,Bachelors,13,Never-married,Craft-repair,Single,White,Male,USA,full time,0.0,Poor
5639,37,Private,126.569,Masters,14,Married-civ-spouse,Tech-support,Taken,White,Male,USA,over time,0.0,Rich
5640,35,Private,176.756,12th,8,Married-civ-spouse,Other-service,Taken,Black,Male,USA,full time,0.0,Poor
5641,40,Private,115.161,HS-grad,9,Married-civ-spouse,Transport-moving,Taken,White,Male,USA,full time,0.0,Poor
5642,57,Self-emp-not-inc,138.892,11th,7,Married-civ-spouse,Sales,Taken,White,Male,USA,part time,0.0,Poor
5643,38,Private,256.864,HS-grad,9,Married-civ-spouse,Tech-support,Taken,White,Male,USA,over time,0.0,Rich
5644,48,Private,265.083,10th,6,Divorced,Sales,Single,White,Female,USA,full time,0.0,Poor
5645,34,Private,249.948,Some-college,10,Divorced,Other-service,Single,White,Female,USA,full time,0.0,Poor
5647,30,Private,164.19,HS-grad,9,Never-married,Adm-clerical,Single,White,Male,USA,full time,0.0,Poor
5648,45,State-gov,67.544,Masters,14,Divorced,Protective-serv,Single,White,Male,USA,over time,0.0,Poor
5649,32,Self-emp-not-inc,174.789,Bachelors,13,Married-civ-spouse,Prof-specialty,Taken,White,Male,USA,over time,0.0,Rich
5650,35,Private,199.753,HS-grad,9,Never-married,Machine-op-inspct,Single,White,Male,USA,over time,0.0,Poor
5651,62,Private,122.246,Some-college,10,Never-married,Craft-repair,Single,White,Female,USA,full time,8.614,Rich
5653,50,Private,96.586,Assoc-voc,11,Married-civ-spouse,Other-service,Taken,White,Male,USA,full time,0.0,Poor
5654,25,Private,189.59,Bachelors,13,Never-married,Tech-support,Single,White,Male,USA,full time,0.0,Poor
5655,41,Private,140.59,Some-college,10,Never-married,Sales,Single,Black,Male,USA,full time,0.0,Poor
5656,35,Private,255.702,HS-grad,9,Never-married,Other-service,Single,White,Female,USA,full time,0.0,Poor
5657,33,Private,260.782,Some-college,10,Married-civ-spouse,Craft-repair,Taken,White,Male,USA,over time,0.0,Rich
5658,38,Private,169.926,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Taken,White,Female,USA,full time,-1.902,Rich
5659,37,State-gov,151.322,Bachelors,13,Never-married,Prof-specialty,Single,White,Male,USA,full time,0.0,Poor
5660,56,Private,192.869,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Taken,White,Male,USA,full time,0.0,Rich
5661,19,Private,93.604,7th-8th,4,Never-married,Craft-repair,Single,White,Male,USA,full time,-1.602,Poor
5662,31,Private,86.958,9th,5,Married-civ-spouse,Exec-managerial,Taken,White,Female,USA,full time,0.0,Poor
5663,53,Local-gov,228.723,HS-grad,9,Divorced,Craft-repair,Single,Other,Male,USA,full time,0.0,Rich
5664,33,Private,192.644,HS-grad,9,Separated,Handlers-cleaners,Single,White,Male,PR,full time,0.0,Poor
5665,72,Private,284.08,1st-4th,2,Divorced,Other-service,Single,Black,Male,USA,full time,0.0,Poor
5666,54,Private,43.269,HS-grad,9,Married-civ-spouse,Transport-moving,Taken,White,Male,USA,over time,0.0,Rich
5667,30,Private,190.04,Bachelors,13,Never-married,Machine-op-inspct,Single,White,Female,USA,full time,0.0,Poor
5668,51,Private,306.108,Doctorate,16,Never-married,Prof-specialty,Single,White,Male,USA,full time,0.0,Rich
5669,30,Private,220.148,HS-grad,9,Married-civ-spouse,Craft-repair,Taken,White,Male,USA,over time,-1.848,Rich
5671,32,Private,216.361,Some-college,10,Married-civ-spouse,Protective-serv,Taken,Black,Male,USA,part time,0.0,Poor
5672,30,Private,213.722,Some-college,10,Never-married,Sales,Single,White,Male,USA,over time,0.0,Rich
5673,35,Private,112.271,Masters,14,Married-civ-spouse,Adm-clerical,Taken,White,Male,USA,full time,0.0,Poor
5674,40,Private,208.277,Some-college,10,Divorced,Adm-clerical,Single,White,Female,USA,over time,0.0,Rich
5676,19,Private,129.62,10th,6,Never-married,Other-service,Single,White,Female,USA,full time,0.0,Poor
5677,32,Private,249.55,Some-college,10,Never-married,Prof-specialty,Single,White,Male,USA,over time,0.0,Poor
5678,49,Private,178.749,Masters,14,Married-spouse-absent,Adm-clerical,Taken,White,Female,USA,full time,0.0,Poor
5680,60,Private,167.67,Bachelors,13,Married-civ-spouse,Prof-specialty,Taken,White,Male,USA,full time,0.0,Poor
5681,60,Private,81.578,9th,5,Married-civ-spouse,Sales,Taken,White,Male,USA,full time,0.0,Poor
5682,55,Private,160.662,Doctorate,16,Married-civ-spouse,Exec-managerial,Taken,White,Male,USA,too much,0.0,Rich
5683,41,Private,163.322,Bachelors,13,Divorced,Tech-support,Single,White,Female,USA,full time,0.0,Poor
5684,24,Private,152.189,HS-grad,9,Never-married,Craft-repair,Single,White,Male,USA,full time,0.0,Poor
5685,53,Private,106.176,Masters,14,Married-civ-spouse,Sales,Taken,White,Male,USA,over time,7.298,Rich
5686,69,State-gov,159.191,Some-college,10,Widowed,Adm-clerical,Single,White,Female,USA,full time,-0.81,Poor
5688,41,Private,78.41,HS-grad,9,Married-civ-spouse,Adm-clerical,Taken,White,Female,USA,full time,0.0,Rich
5689,32,Private,131.379,HS-grad,9,Never-married,Other-service,Single,White,Female,USA,full time,0.0,Poor
5690,45,Private,166.929,11th,7,Married-civ-spouse,Craft-repair,Taken,White,Male,USA,full time,0.0,Poor
5692,31,Private,79.19,HS-grad,9,Never-married,Other-service,Single,White,Female,USA,full time,0.0,Poor
5693,40,Private,342.164,HS-grad,9,Separated,Adm-clerical,Single,White,Female,USA,full time,0.0,Poor
5694,44,Private,182.616,Assoc-voc,11,Married-civ-spouse,Tech-support,Taken,White,Male,USA,full time,0.0,Rich
5695,63,Private,339.473,Some-college,10,Divorced,Sales,Single,White,Female,USA,over time,0.0,Poor
5697,51,Private,300.816,Bachelors,13,Never-married,Adm-clerical,Single,White,Male,USA,part time,0.0,Poor
5698,51,Private,240.988,11th,7,Married-civ-spouse,Machine-op-inspct,Taken,Asian-Pac-Islander,Male,PH,full time,0.0,Poor
5699,23,Private,149.224,HS-grad,9,Never-married,Sales,Single,White,Male,USA,full time,0.0,Poor
5700,49,Private,168.216,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Taken,White,Male,USA,over time,0.0,Poor
5701,56,Private,286.487,HS-grad,9,Married-civ-spouse,Craft-repair,Taken,White,Male,USA,over time,2.885,Poor
5702,39,Private,305.597,HS-grad,9,Married-civ-spouse,Craft-repair,Taken,White,Male,USA,full time,0.0,Rich
5703,39,Self-emp-not-inc,109.766,Prof-school,15,Married-civ-spouse,Prof-specialty,Taken,White,Male,USA,over time,15.024,Rich
5704,30,Self-emp-not-inc,188.798,HS-grad,9,Divorced,Other-service,Single,White,Female,USA,full time,0.0,Poor
5705,43,Self-emp-not-inc,240.17,Bachelors,13,Married-civ-spouse,Exec-managerial,Taken,White,Male,DE,over time,0.0,Poor
5707,44,Local-gov,162.506,Masters,14,Married-civ-spouse,Prof-specialty,Taken,White,Male,USA,full time,0.0,Poor
5708,43,Self-emp-not-inc,145.441,Prof-school,15,Married-civ-spouse,Prof-specialty,Taken,White,Male,USA,full time,0.0,Rich
